,nation,player_name,team,url
236,Spain,Jonathan Viera,UD Las Palmas,https://www.fifaindex.com/player/198164/jonathan-viera/
237,Portugal,Pizzi,SL Benfica,https://www.fifaindex.com/player/197965/pizzi/
238,Brazil,Willian Jos?,Real Sociedad,https://www.fifaindex.com/player/195093/willian-jos%C3%A9/
239,Ukraine,Andriy Yarmolenko,Bor. Dortmund,https://www.fifaindex.com/player/194794/andriy-yarmolenko/
240,Spain,V?ctor Ru?z,Villarreal CF,https://www.fifaindex.com/player/193469/v%C3%ADctor-ru%C3%ADz/
241,Switzerland,Xherdan Shaqiri,Stoke City,https://www.fifaindex.com/player/193348/xherdan-shaqiri/
242,Colombia,Juan Cuadrado,Juventus,https://www.fifaindex.com/player/193082/juan-cuadrado/
243,Germany,Mario G?tze,Bor. Dortmund,https://www.fifaindex.com/player/192318/mario-g%C3%B6tze/
244,Finland,Luk?? Hr?deck?,Eint. Frankfurt,https://www.fifaindex.com/player/190941/luk%C3%A1%C5%A1-hr%C3%A1deck%C3%BD/
245,Spain,Iborra,Leicester City,https://www.fifaindex.com/player/189560/iborra/
246,Italy,Giacomo Bonaventura,Milan,https://www.fifaindex.com/player/189125/giacomo-bonaventura/
247,Kenya,Victor Wanyama,Spurs,https://www.fifaindex.com/player/188942/victor-wanyama/
248,Brazil,Taison,Shakhtar Donetsk,https://www.fifaindex.com/player/188803/taison/
249,Ukraine,Marlos,Shakhtar Donetsk,https://www.fifaindex.com/player/187754/marlos/
250,Germany,Lars Stindl,Bor. M'gladbach,https://www.fifaindex.com/player/187072/lars-stindl/
251,Wales,Aaron Ramsey,Arsenal,https://www.fifaindex.com/player/186561/aaron-ramsey/
252,Argentina,Mateo Musacchio,Milan,https://www.fifaindex.com/player/186547/mateo-musacchio/
253,Poland,Wojciech Szcz?sny,Juventus,https://www.fifaindex.com/player/186153/wojciech-szcz%C4%99sny/
254,Turkey,?mer Toprak,Bor. Dortmund,https://www.fifaindex.com/player/185239/%C3%B6mer-toprak/
255,Iceland,Gylfi Sigur©£sson,Everton,https://www.fifaindex.com/player/184484/gylfi-sigur%C3%B0sson/
256,England,Jordan Henderson,Liverpool,https://www.fifaindex.com/player/183711/jordan-henderson/
257,Germany,Max Kruse,Werder Bremen,https://www.fifaindex.com/player/183574/max-kruse/
